description,best_ev
K only,0.468365
A only,0.468231
K only,0.468231
Q only,0.467872
A only,0.467424
Q only,0.467424
A only,0.46693
K only,0.46693
Q only,0.46684
A only,0.466706
K only,0.466706
Q only,0.466616
A only,0.466538
A only,0.465854
A only,0.465629
A only,0.465495
K only,0.465495
A only,0.465271
A only,0.465102
A only,0.464822
K only,0.464418
A only,0.464194
K only,0.464194
A only,0.464026
A only,0.463219
A only,0.462501
Suited TK,0.462165
A only,0.461066
A only,0.460842
A only,0.459989
A only,0.459765
K only,0.459765
A only,0.458958
3 to a straight flush (type 3),0.443108
3 to a straight flush (type 3),0.428307
"Garbage, discard everything",0.363385
"Garbage, discard everything",0.363333
"Garbage, discard everything",0.362983
"Garbage, discard everything",0.362973
"Garbage, discard everything",0.362957
"Garbage, discard everything",0.362921
"Garbage, discard everything",0.362754
"Garbage, discard everything",0.362681
"Garbage, discard everything",0.362675
"Garbage, discard everything",0.362661
"Garbage, discard everything",0.362655
"Garbage, discard everything",0.362635
"Garbage, discard everything",0.362629
"Garbage, discard everything",0.362609
"Garbage, discard everything",0.362602
"Garbage, discard everything",0.362571
"Garbage, discard everything",0.362545
"Garbage, discard everything",0.362462
"Garbage, discard everything",0.362436
"Garbage, discard everything",0.362383
"Garbage, discard everything",0.362357
"Garbage, discard everything",0.362352
"Garbage, discard everything",0.362336
"Garbage, discard everything",0.362326
"Garbage, discard everything",0.36231
"Garbage, discard everything",0.3623
"Garbage, discard everything",0.36229
"Garbage, discard everything",0.362275
"Garbage, discard everything",0.362263
"Garbage, discard everything",0.36226
"Garbage, discard everything",0.362258
"Garbage, discard everything",0.362253
"Garbage, discard everything",0.362249
"Garbage, discard everything",0.362244
"Garbage, discard everything",0.362232
"Garbage, discard everything",0.362227
"Garbage, discard everything",0.362223
"Garbage, discard everything",0.362218
"Garbage, discard everything",0.362207
"Garbage, discard everything",0.362206
"Garbage, discard everything",0.362197
"Garbage, discard everything",0.362192
"Garbage, discard everything",0.362166
"Garbage, discard everything",0.36214
"Garbage, discard everything",0.362113
"Garbage, discard everything",0.36207
"Garbage, discard everything",0.362056
"Garbage, discard everything",0.362044
"Garbage, discard everything",0.362034
"Garbage, discard everything",0.36203
"Garbage, discard everything",0.362018
"Garbage, discard everything",0.362008
"Garbage, discard everything",0.362004
"Garbage, discard everything",0.361999
"Garbage, discard everything",0.361983
"Garbage, discard everything",0.361982
"Garbage, discard everything",0.361978
"Garbage, discard everything",0.361973
"Garbage, discard everything",0.361957
"Garbage, discard everything",0.361947
"Garbage, discard everything",0.361935
"Garbage, discard everything",0.361931
"Garbage, discard everything",0.361909
"Garbage, discard everything",0.361905
"Garbage, discard everything",0.361883
"Garbage, discard everything",0.361877
"Garbage, discard everything",0.361874
"Garbage, discard everything",0.361857
"Garbage, discard everything",0.361851
"Garbage, discard everything",0.361848
"Garbage, discard everything",0.361842
"Garbage, discard everything",0.361832
"Garbage, discard everything",0.361831
"Garbage, discard everything",0.361816
"Garbage, discard everything",0.361806
"Garbage, discard everything",0.361795
"Garbage, discard everything",0.36179
"Garbage, discard everything",0.361789
"Garbage, discard everything",0.36178
"Garbage, discard everything",0.361764
"Garbage, discard everything",0.361763
"Garbage, discard everything",0.361754
"Garbage, discard everything",0.361738
"Garbage, discard everything",0.361737
"Garbage, discard everything",0.361728
"Garbage, discard everything",0.361712
"Garbage, discard everything",0.361701
"Garbage, discard everything",0.361686
"Garbage, discard everything",0.361681
"Garbage, discard everything",0.361658
"Garbage, discard everything",0.361655
"Garbage, discard everything",0.361639
"Garbage, discard everything",0.361632
"Garbage, discard everything",0.361628
"Garbage, discard everything",0.361613
"Garbage, discard everything",0.361606
"Garbage, discard everything",0.361602
"Garbage, discard everything",0.361587
"Garbage, discard everything",0.361576
"Garbage, discard everything",0.361561
"Garbage, discard everything",0.361559
"Garbage, discard everything",0.361555
"Garbage, discard everything",0.36155
"Garbage, discard everything",0.36154
"Garbage, discard everything",0.361535
"Garbage, discard everything",0.361533
"Garbage, discard everything",0.361529
"Garbage, discard everything",0.36152
"Garbage, discard everything",0.361514
"Garbage, discard everything",0.361509
"Garbage, discard everything",0.361507
"Garbage, discard everything",0.361503
"Garbage, discard everything",0.361498
"Garbage, discard everything",0.361494
"Garbage, discard everything",0.361488
"Garbage, discard everything",0.361482
"Garbage, discard everything",0.361481
"Garbage, discard everything",0.361472
"Garbage, discard everything",0.361468
"Garbage, discard everything",0.361462
"Garbage, discard everything",0.361456
"Garbage, discard everything",0.361455
"Garbage, discard everything",0.361446
"Garbage, discard everything",0.361442
"Garbage, discard everything",0.361435
"Garbage, discard everything",0.36143
"Garbage, discard everything",0.36142
"Garbage, discard everything",0.361416
"Garbage, discard everything",0.361409
"Garbage, discard everything",0.361404
"Garbage, discard everything",0.361378
"Garbage, discard everything",0.361377
"Garbage, discard everything",0.361362
"Garbage, discard everything",0.361352
"Garbage, discard everything",0.361351
"Garbage, discard everything",0.361347
"Garbage, discard everything",0.361336
"Garbage, discard everything",0.361326
"Garbage, discard everything",0.361325
"Garbage, discard everything",0.361321
"Garbage, discard everything",0.36131
"Garbage, discard everything",0.361301
"Garbage, discard everything",0.3613
"Garbage, discard everything",0.361295
"Garbage, discard everything",0.361284
"Garbage, discard everything",0.361279
"Garbage, discard everything",0.361278
"Garbage, discard everything",0.361275
"Garbage, discard everything",0.361269
"Garbage, discard everything",0.361253
"Garbage, discard everything",0.361252
"Garbage, discard everything",0.361249
"Garbage, discard everything",0.361243
"Garbage, discard everything",0.361237
"Garbage, discard everything",0.361227
"Garbage, discard everything",0.361226
"Garbage, discard everything",0.361222
"Garbage, discard everything",0.361216
"Garbage, discard everything",0.361211
"Garbage, discard everything",0.361201
"Garbage, discard everything",0.3612
"Garbage, discard everything",0.361196
"Garbage, discard everything",0.36119
"Garbage, discard everything",0.361185
"Garbage, discard everything",0.36118
"Garbage, discard everything",0.361175
"Garbage, discard everything",0.361173
"Garbage, discard everything",0.361164
"Garbage, discard everything",0.361159
"Garbage, discard everything",0.361158
"Garbage, discard everything",0.361154
"Garbage, discard everything",0.361149
"Garbage, discard everything",0.361138
"Garbage, discard everything",0.361133
"Garbage, discard everything",0.361132
"Garbage, discard everything",0.361128
"Garbage, discard everything",0.361123
"Garbage, discard everything",0.361119
"Garbage, discard everything",0.361117
"Garbage, discard everything",0.361112
"Garbage, discard everything",0.361108
"Garbage, discard everything",0.361107
"Garbage, discard everything",0.361106
"Garbage, discard everything",0.361102
"Garbage, discard everything",0.361096
"Garbage, discard everything",0.361093
"Garbage, discard everything",0.361091
"Garbage, discard everything",0.361086
"Garbage, discard everything",0.361082
"Garbage, discard everything",0.361081
"Garbage, discard everything",0.36108
"Garbage, discard everything",0.361076
"Garbage, discard everything",0.36107
"Garbage, discard everything",0.361069
"Garbage, discard everything",0.361067
"Garbage, discard everything",0.361065
"Garbage, discard everything",0.36106
"Garbage, discard everything",0.361056
"Garbage, discard everything",0.361055
"Garbage, discard everything",0.36105
"Garbage, discard everything",0.361044
"Garbage, discard everything",0.361043
"Garbage, discard everything",0.36104
"Garbage, discard everything",0.361039
"Garbage, discard everything",0.361034
"Garbage, discard everything",0.36103
"Garbage, discard everything",0.361023
"Garbage, discard everything",0.361018
"Garbage, discard everything",0.361014
"Garbage, discard everything",0.361013
"Garbage, discard everything",0.361008
"Garbage, discard everything",0.360961
"Garbage, discard everything",0.360957
"Garbage, discard everything",0.360956
"Garbage, discard everything",0.360935
"Garbage, discard everything",0.360931
